                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.6593,                 1.0963,                 1.1342,                0.56485,                0.46543,                0.50257,                0.23442,                 1.9298,                 2.0061,                 1.3381,                0.00101,                0.00101,                0.00101
                     52,                 1.6594,                 1.1405,                  1.137,                0.66971,                0.43396,                0.52544,                 0.2408,                 1.9848,                 2.0553,                 1.3633,                0.00101,                0.00101,                0.00101
                     53,                  1.642,                 1.0785,                 1.1487,                0.66971,                0.43396,                0.52544,                 0.2408,                 1.9848,                 2.0553,                 1.3633,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.7966,                 1.2506,                 1.2183,                 0.7227,                0.50943,                   0.59,                0.23617,                 1.9993,                 2.0425,                 1.3552,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.6781,                 1.0838,                 1.0373,                 0.7227,                0.50943,                   0.59,                0.23617,                 1.9993,                 2.0425,                 1.3552,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.747,                 1.2529,                 1.1066,                0.62302,                0.60377,                0.63988,                0.23055,                 2.1028,                 1.9248,                 1.4102,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.7149,                 1.3866,                 1.1234,                0.62302,                0.60377,                0.63988,                0.23055,                 2.1028,                 1.9248,                 1.4102,               0.000911,               0.000911,               0.000911
                     58,                 1.8511,                 1.1603,                 1.1004,                0.71879,                0.56604,                0.67104,                0.25764,                 2.1129,                 1.7363,                 1.4428,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5661,                 1.1122,                 1.0209,                0.71879,                0.56604,                0.67104,                0.25764,                 2.1129,                 1.7363,                 1.4428,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.6814,                 1.0571,                 1.1191,                0.82278,                0.52564,                0.67341,                0.28966,                 2.0199,                 1.5616,                 1.3946,              0.0008516,              0.0008516,              0.0008516
