                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.5835,                 1.1445,                 1.0283,                0.65287,                0.24528,                0.36778,                0.16124,                 1.9839,                 2.2915,                 1.3462,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.6106,                 1.2296,                 1.0051,                0.65287,                0.24528,                0.36778,                0.16124,                 1.9839,                 2.2915,                 1.3462,               0.001013,               0.001013,               0.001013
                     48,                 1.5259,                 1.3312,                  1.097,                0.71343,                0.28302,                0.38877,                0.17275,                 1.9851,                  2.286,                 1.3575,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.4851,                 1.2214,                 1.0832,                0.71343,                0.28302,                0.38877,                0.17275,                 1.9851,                  2.286,                 1.3575,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.8759,                 1.2959,                 1.2977,                0.70005,                0.32075,                0.47328,                0.22076,                 1.9374,                 2.0965,                 1.3416,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.6516,                 1.1243,                 1.1153,                0.70005,                0.32075,                0.47328,                0.22076,                 1.9374,                 2.0965,                 1.3416,                0.00101,                0.00101,                0.00101
                     52,                 1.6863,                 1.1112,                 1.0842,                0.73302,                0.41446,                0.56236,                0.26122,                 1.9658,                 1.9738,                 1.3602,                0.00101,                0.00101,                0.00101
                     53,                 1.4968,                 1.0348,                 1.0821,                0.73302,                0.41446,                0.56236,                0.26122,                 1.9658,                 1.9738,                 1.3602,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.7826,                 1.2579,                 1.2021,                0.73037,                0.46012,                0.59149,                0.25135,                 1.9568,                 1.9313,                 1.3532,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.6029,                 1.0129,                 1.0135,                0.73037,                0.46012,                0.59149,                0.25135,                 1.9568,                 1.9313,                 1.3532,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.7609,                 1.2422,                 1.0915,                0.61138,                0.45283,                0.55825,                0.21758,                 2.0432,                 1.9779,                 1.4324,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.6619,                 1.3849,                 1.1182,                0.61138,                0.45283,                0.55825,                0.21758,                 2.0432,                 1.9779,                 1.4324,               0.000911,               0.000911,               0.000911
                     58,                 1.8231,                 1.1384,                 1.0879,                0.64594,                0.43396,                0.50084,                0.20883,                 2.1241,                 1.9168,                 1.4589,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5584,                 1.0811,                 1.0215,                0.64594,                0.43396,                0.50084,                0.20883,                 2.1241,                 1.9168,                 1.4589,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.6623,                 1.1118,                 1.0977,                0.67691,                0.51399,                0.53691,                0.23768,                 2.1073,                 1.8263,                 1.4342,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6262,                 1.0364,                 1.0128,                0.67691,                0.51399,                0.53691,                0.23768,                 2.1073,                 1.8263,                 1.4342,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6548,                 1.0775,                 1.0734,                0.82813,                0.54551,                0.61657,                0.25219,                 2.0377,                 1.7297,                 1.3964,               0.000812,               0.000812,               0.000812
                     63,                 1.5783,                 1.2536,                 1.1636,                0.82813,                0.54551,                0.61657,                0.25219,                 2.0377,                 1.7297,                 1.3964,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.6834,                 1.1937,                 1.0665,                0.74176,                0.54205,                0.60566,                0.26696,                 2.0578,                 1.6623,                 1.3886,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4978,                 1.0188,                 1.0276,                0.74176,                0.54205,                0.60566,                0.26696,                 2.0578,                 1.6623,                 1.3886,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.6111,                 1.2055,                 1.1121,                0.73494,                0.54717,                0.64766,                0.27271,                  2.055,                   1.68,                 1.3949,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.3966,                 1.1054,                  1.001,                0.73494,                0.54717,                0.64766,                0.27271,                  2.055,                   1.68,                 1.3949,               0.000713,               0.000713,               0.000713
                     68,                 1.4158,                 1.0399,                 1.0293,                0.75797,                0.60377,                0.62651,                0.28072,                 2.0715,                  1.623,                 1.4058,              0.0006932,              0.0006932,              0.0006932
                     69,                   1.44,                 1.0445,                  1.019,                0.75797,                0.60377,                0.62651,                0.28072,                 2.0715,                  1.623,                 1.4058,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5266,                 1.0729,                 1.0397,                0.74661,                0.62264,                 0.6317,                0.27727,                  2.099,                 1.5354,                 1.4225,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4947,                 1.0403,                0.98866,                0.74661,                0.62264,                 0.6317,                0.27727,                  2.099,                 1.5354,                 1.4225,              0.0006338,              0.0006338,              0.0006338
